GID,NUMSTAT,IDENT,ADRESSE,COMMUNE,DATESERV,LIGNCORR,NBSUPPOR,NOM,TARIF,TERMBANC,TYPEA,GEOM_O,CDATE,MDATE
505,84,91,face au 110 avenue Pierre Mendès France,MERIGNAC,,23/Citéis 42/Corol 35/Flexo 48/Flexo 54,18,Le Burck,VLS PLUS,OUI,VCUB,0,20140923100656,20140923100656
506,85,92,"avenue de la Marne, devant le P+R",MERIGNAC,,A/Corol 34,18,Merignac Quatre Chemins,VLS PLUS,OUI,VCUB,0,20140923100656,20140923100656
507,102,106,6 quai de la Douane,BORDEAUX,,C,20,Place de la Bourse,VLS,OUI,VCUB,0,20140923100656,20140923100656
508,100,104,face au 119 quai des Chartrons,BORDEAUX,,B/Citéis 46,20,Cours du Medoc,VLS,OUI,VCUB,0,20140923100656,20140923100656
509,90,97,"avenue François Mitterrand, devant le P+R",MERIGNAC,,A/Citéis 42/23/Flexo 54,18,Fontaine d'Arlac,VLS PLUS,OUI,VCUB,0,20140923100656,20140923100656
510,98,102,83 quai de Bacalan,BORDEAUX,,B/Corol 32,18,Bassins a flot,VLS,OUI,VCUB,0,20140923100656,20140923100656
511,95,100,87 av. du Général de Gaulle,BRUGES,,29/56 exp/Corol 35/Lianes 6,16,Bruges Hotel de Ville,VLS PLUS,OUI,VCUB,0,20140923100656,20140923100656
512,99,103,face au 36 quai de Bacalan,BORDEAUX,,B,20,Les Hangars,VLS,OUI,VCUB,0,20140923100656,20140923100656
513,124,124,face au 18 quai de la Monnaie,BORDEAUX,,C,20,Parc des Sports,VLS,OUI,VCUB,0,20140923100656,20140923100656
514,109,113,276 cours de l'Argonne,BORDEAUX,,B/Lianes 9/26,36,Barriere St Genes,VLS,OUI,VCUB,0,20140923100656,20140923100656
515,121,122,face au 30 place St Martial,BORDEAUX,,Lianes 4/Citéis 46,14,Place St Martial,VLS,OUI,VCUB,0,20140923100656,20140923100656
516,119,121,angle av Emile Counord / rue F. Leveque,BORDEAUX,,C,20,Tram station Grd Parc,VLS,OUI,VCUB,0,20140923100656,20140923100656
517,152,271,349-351 Route de Toulouse,VILLENAVE-D'ORNON,,Lianes 5/Citéis 43,20,Robert Picqué,VLS,OUI,VCUB,0,20140923100656,20140923100656
518,153,270,Face au 325 Chemin de Leysotte,VILLENAVE-D'ORNON,,87,20,Parc Sourreil,VLS PLUS,OUI,VCUB,0,20140923100656,20140923100656
519,42,51,"31, 33 rue du Pas St Georges",BORDEAUX,,Citéis 47,20,Camille Jullian,VLS,OUI,VCUB,0,20140923100656,20140923100656
520,24,36,face au 9 rue Léo Drouyn,BORDEAUX,,24,16,Libération,VLS,OUI,VCUB,0,20140923100656,20140923100656
521,138,137,"9, 10 place Dormoy",BORDEAUX,,Lianes 9/Lianes 15,18,Barbey,VLS,OUI,VCUB,0,20140923100656,20140923100656
522,139,138,152 cours de l'Yser,BORDEAUX,,20/58/Lianes 5/Lianes 10 (spécial Train)/Citéis 43,18,Lycee Bremontier,VLS,OUI,VCUB,0,20140923100656,20140923100656
523,41,50,9 rue des Trois Conils,BORDEAUX,,Citéis 47,18,Place St Projet,VLS,OUI,VCUB,0,20140923100656,20140923100656
524,136,135,place Pierre Renaudel,BORDEAUX,,C/58/Citéis 45/Lianes 10,18,Eglise Ste Croix,VLS,OUI,VCUB,0,20140923100656,20140923100656
525,151,260,Avenue Salvador Allende,FLOIRAC,,A/28/Corol 32/Flexo 52/80,20,Dravemont,VLS PLUS,OUI,VCUB,0,20140923100656,20140923100656
526,46,55,face au 18 rue Eugène Delacroix,BORDEAUX,,C/Lianes 11,21,Belcier,VLS,OUI,VCUB,0,20140923100656,20140923100656
527,70,79,pôle d'échanges Buttinière,LORMONT,,A/27/64/67/Corol 32/Citéis 40/Flexo 68/Résago Artigues,20,Buttiniere,VLS PLUS,OUI,VCUB,0,20140923100656,20140923100656
528,123,3,face au 42 quai Richelieu,BORDEAUX,,A/C/24/Citéis 45,36,Porte de Bourgogne,VLS,OUI,VCUB,0,20140923100656,20140923100656
529,47,56,212 rue Fernand Audeguil,BORDEAUX,,Lianes 11/Lianes 4/26,16,Magendie,VLS,OUI,VCUB,0,20140923100656,20140923100656
530,34,2,face au 10 rue de Tivoli,BORDEAUX,,72/29,14,Tivoli,VLS,OUI,VCUB,0,20140923100656,20140923100656
531,117,8,rond-point avenue des Facultés,PESSAC,,B,20,Doyen Brus,VLS,OUI,VCUB,0,20140923100656,20140923100656
532,58,67,face au 73 quai des Chartrons,BORDEAUX,,B,18,Chartrons,VLS,OUI,VCUB,0,20140923100656,20140923100656
533,107,111,face au 20 rue Brian,BORDEAUX,,B,15,St Nicolas,VLS,OUI,VCUB,0,20140923100700,20140923100700
534,49,58,43 rue Emile Zola,LE BOUSCAT,,56 exp/72/Lianes 6,18,Le Bouscat Mairie,VLS,OUI,VCUB,0,20140923100700,20140923100700
535,53,62,face au 230 rue Camille Godard,BORDEAUX,,72,14,Parc Riviere,VLS,OUI,VCUB,0,20140923100700,20140923100700
536,69,78,5 place Calixte Camelle,BORDEAUX,,Citéis 45,14,Cours Le Rouzic,VLS,OUI,VCUB,0,20140923100700,20140923100700
537,122,123,77 cours Saint Louis,BORDEAUX,,Lianes 4/Citéis 46,16,Cours St Louis Medoc,VLS,OUI,VCUB,0,20140923100700,20140923100700
538,105,109,63 rue du Mirail,BORDEAUX,,Citéis 47,20,Rue du Mirail,VLS,OUI,VCUB,0,20140923100700,20140923100700
539,116,119,station tram Montaigne Montesquieu,PESSAC,,B,40,Montaigne Montesquieu,VLS,OUI,VCUB,0,20140923100700,20140923100700
540,32,42,67 avenue Carnot,BORDEAUX,,Lianes 5,16,Parc Bordelais,VLS,OUI,VCUB,0,20140923100700,20140923100700
541,67,76,allée de Serr,BORDEAUX,,Citéis 45,18,Allee de Serr - Abadie,VLS,OUI,VCUB,0,20140923100700,20140923100700
542,73,81,face au 307 boulevard J.J. Bosc,BEGLES,,C/26/Lianes 11/Corol 36,21,Terres Neuves,VLS PLUS,OUI,VCUB,0,20140923100700,20140923100700
543,108,112,rue Grateloup,BORDEAUX,,B/26,16,Bergonie,VLS,OUI,VCUB,0,20140923100700,20140923100700
544,14,29,"75, rue de Lyon",BORDEAUX,,83/Lianes 2/Lianes 3/Spécifique 74,14,Dubreuil / Turenne,VLS,OUI,VCUB,0,20140923100700,20140923100700
